
score_id,score,created_at,updated_at,diff_id,lang_id,user_id,accuracy,typing_count
58,4665,2025-04-03 10:22:24.06611+00,2025-04-03 10:22:24.066119+00,2,1,c546f210-dd7e-4396-a9d1-af22955e7a57,0.83,562
59,2470,2025-04-03 10:23:33.787671+00,2025-04-03 10:23:33.78768+00,2,1,ab2d5d1d-c013-4486-8313-a96500b7b6b7,0.84,294
60,1968,2025-04-03 10:31:57.896602+00,2025-04-03 10:31:57.896613+00,2,1,60fc5c6a-9824-46e9-8f5d-a9dd2b994dde,0.76,259
61,4626,2025-04-04 00:12:59.920432+00,2025-04-04 00:12:59.920442+00,2,1,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2,0.95,487
62,3762,2025-04-04 00:21:35.878172+00,2025-04-04 00:21:35.878181+00,2,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.95,396
63,1949,2025-04-04 00:23:39.055272+00,2025-04-04 00:23:39.055287+00,2,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.73,267
64,1903,2025-04-04 00:47:51.637252+00,2025-04-04 00:47:51.637264+00,2,1,60fc5c6a-9824-46e9-8f5d-a9dd2b994dde,0.67,284
65,2239,2025-04-04 00:51:02.50008+00,2025-04-04 00:51:02.500091+00,2,1,60fc5c6a-9824-46e9-8f5d-a9dd2b994dde,0.72,311
66,1732,2025-04-04 00:55:44.269146+00,2025-04-04 00:55:44.26916+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.75,231
67,3837,2025-04-04 00:57:26.575959+00,2025-04-04 00:57:26.57597+00,2,2,60fc5c6a-9824-46e9-8f5d-a9dd2b994dde,0.87,441
68,2386,2025-04-04 00:58:55.630838+00,2025-04-04 00:58:55.63085+00,2,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.79,302
69,3427,2025-04-04 00:59:01.665191+00,2025-04-04 00:59:01.665201+00,2,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.96,357
70,2425,2025-04-04 00:59:39.945881+00,2025-04-04 00:59:39.945911+00,2,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.86,282
71,3429,2025-04-04 01:59:30.649273+00,2025-04-04 01:59:30.649286+00,2,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.9,381
72,1843,2025-04-04 02:01:07.535761+00,2025-04-04 02:01:07.535778+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.68,271
73,3060,2025-04-04 02:01:13.846546+00,2025-04-04 02:01:13.84657+00,2,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.9,340
74,3142,2025-04-04 02:02:54.202052+00,2025-04-04 02:02:54.202067+00,2,1,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,0.84,374
75,1769,2025-04-04 02:04:24.428015+00,2025-04-04 02:04:24.428025+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.67,264
76,3788,2025-04-04 02:05:47.68839+00,2025-04-04 02:05:47.6884+00,2,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.94,403
77,3176,2025-04-04 02:06:20.126394+00,2025-04-04 02:06:20.126403+00,2,1,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,0.79,402
78,3427,2025-04-04 03:59:21.262862+00,2025-04-04 03:59:21.262878+00,2,1,9f27d136-09de-407f-b405-7120b2d55daa,0.84,408
79,3758,2025-04-04 05:05:35.739498+00,2025-04-04 05:05:35.739508+00,2,1,78d9548f-bbcf-4129-a8a7-e0a841a295b3,0.91,413
80,1856,2025-04-04 05:07:43.663467+00,2025-04-04 05:07:43.663482+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.67,277
81,1418,2025-04-04 06:07:29.746627+00,2025-04-04 06:07:29.746639+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.63,225
82,3002,2025-04-04 06:09:39.346311+00,2025-04-04 06:09:39.346326+00,2,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.79,380
83,2511,2025-04-04 07:55:13.155701+00,2025-04-04 07:55:13.155712+00,2,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.9,279
84,1976,2025-04-04 07:55:13.255269+00,2025-04-04 07:55:13.255279+00,2,1,575e0431-1085-4d49-9191-86fd4695b554,0.74,267
85,2541,2025-04-04 07:56:25.358305+00,2025-04-04 07:56:25.358316+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.77,330
